This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Game Name                        |Working|Colors | Sound | Flip  |   Name   |
+----------------------------------+-------+-------+-------+-------+----------+
| PuckMan (Japan set 1)            |  Yes  |  Yes  |  Yes  |  Yes  | pacman   |
| PuckMan (Japan set 2)            |  Yes  |  Yes  |  Yes  |  Yes  | pacmanjp |
| Pac-Man (Midway)                 |  Yes  |  Yes  |  Yes  |  Yes  | pacmanm  |
| PuckMan (harder?)                |  Yes  |  Yes  |  Yes  |  Yes  | npacmod  |
| Pac-Man (Midway, harder)         |  Yes  |  Yes  |  Yes  |  Yes  | pacmod   |
| Hangly-Man (set 1)               |  Yes  |  Yes  |  Yes  |  Yes  | hangly   |
| Hangly-Man (set 2)               |  Yes  |  Yes  |  Yes  |  Yes  | hangly2  |
| New Puck-X                       |  Yes  |  Yes  |  Yes  |  Yes  | puckman  |
| Pac-Man (Hearts)                 |  Yes  |  Yes  |  Yes  |  Yes  | pacheart |
| Piranha                          |  Yes  |  Yes  |  Yes  |  Yes  | piranha  |
| Pac-Man Plus                     |  Yes  |  Yes  |  Yes  |  Yes  | pacplus  |
| Ms. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | mspacman |
| Ms. Pac-Man Plus                 |  Yes  |  Yes  |  Yes  |  Yes  | mspacatk |
| Pac-Gal                          |  Yes  |  Yes  |  Yes  |  Yes  | pacgal   |
| Make Trax                        |  Yes  |  Yes  |  Yes  |  Yes  | maketrax |
| Crush Roller (Kural Samno)       |  Yes  |  Yes  |  Yes  |  Yes  | crush    |
| Crush Roller (Kural Esco - bootle|  Yes  |  Yes  |  Yes  |  Yes  | crush2   |
| Crush Roller (Kural - bootleg?)  |  Yes  |  Yes  |  Yes  |  Yes  | crush3   |
| Magic Brush                      |  Yes  |  Yes  |  Yes  |  Yes  | mbrush   |
| Paint Roller                     |  Yes  |  Yes  |  Yes  |  Yes  | paintrlr |
| Eyes (Digitrex Techstar)         |  Yes  |  Yes  |  Yes  |  Yes  | eyes     |
| Eyes (Techstar Inc.)             |  Yes  |  Yes  |  Yes  |  Yes  | eyes2    |
| Mr. TNT                          |  Yes  |  Yes  |  Yes  |  Yes  | mrtnt    |
| Ponpoko                          |  Yes  |  Yes  |  Yes  |  Yes  | ponpoko  |
| Ponpoko (Venture Line)           |  Yes  |  Yes  |  Yes  |  Yes  | ponpokov |
| Lizard Wizard                    |  Yes  |  Yes  |  Yes  |  Yes  | lizwiz   |
| Glob, The                        |  Yes  |  Yes  |  Yes  |  Yes  | theglob  |
| Beastie Feastie                  |  Yes  |  Yes  |  Yes  |  Yes  | beastf   |
| Jump Shot                        |  Yes  |  Yes  |  Yes  |  Yes  | jumpshot |
| Shoot the Bull                   |  Yes  |  Yes  |  Yes  |  Yes  | shootbul |
| Dream Shopper                    |  Yes  |  Yes  |  Yes  |  Yes  | dremshpr |
| Van Van Car                      |  Yes  |  Yes  |  Yes  |  Yes  | vanvan   |
| Van Van Car (Sanritsu)           |  Yes  |  Yes  |  Yes  |  Yes  | vanvans  |
| Ali Baba and 40 Thieves          |  Yes  |  Yes  |  Yes  |  Yes  | alibaba  |
| Pengo (set 1)                    |  Yes  |  Yes  |  Yes  |  Yes  | pengo    |
| Pengo (set 2)                    |  Yes  |  Yes  |  Yes  |  Yes  | pengo2   |
| Pengo (set 2 not encrypted)      |  Yes  |  Yes  |  Yes  |  Yes  | pengo2u  |
| Penta                            |  Yes  |  Yes  |  Yes  |  Yes  | penta    |
| Jr. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | jrpacman |
| Galaxian (Namco)                 |  Yes  |  Yes  |  Yes  |  Yes  | galaxian |
| Galaxian (Midway)                |  Yes  |  Yes  |  Yes  |  Yes  | galmidw  |
| Super Galaxians                  |  Yes  |  Yes  |  Yes  |  Yes  | superg   |
| Galaxian (bootleg)               |  Yes  |  Yes  |  Yes  |  Yes  | galaxb   |
| Galaxian Part X                  |  Yes  |  Yes  |  Yes  |  Yes  | galapx   |
| Space Invaders Galactica         |  Yes  |  Yes  |  Yes  |  Yes  | galap1   |
| Galaxian Part 4                  |  Yes  |  Yes  |  Yes  |  Yes  | galap4   |
| Galaxian Turbo                   |  Yes  |  Yes  |  Yes  |  Yes  | galturbo |
| Swarm                            |  Yes  |  Yes  |  Yes  |  Yes  | swarm    |
| Zero Time                        |  Yes  |  Yes  |  Yes  |  Yes  | zerotime |
| Pisces                           |  Yes  |  Yes  |  Yes  |  Yes  | pisces   |
| UniWar S                         |  Yes  |  Yes  |  Yes  |  Yes  | uniwars  |
| Gingateikoku No Gyakushu         |  Yes  |  Yes  |  Yes  |  Yes  | gteikoku |
| Space Battle                     |  Yes  |  Yes  |  Yes  |  Yes  | spacbatt |
| War of the Bugs                  |  Yes  |  Yes  |  Yes  |  Yes  | warofbug |
| Defend the Terra Attack on the Re|  Yes  |  Yes  |  Yes  |  Yes  | redufo   |
| Exodus (bootleg?)                |  Yes  |  Yes  |  Yes  |  Yes  | exodus   |
| Pac-Man (bootleg on Galaxian hard|  Yes  |  Yes  |  Yes  |  Yes  | pacmanbl |
| Devil Fish (Galaxian hardware, bo|  Yes  |  Yes  |  Yes  |  Yes  | devilfsg |
| Zig Zag (Galaxian hardware, set 1|  Yes  |  Yes  |  Yes  |  Yes  | zigzag   |
| Zig Zag (Galaxian hardware, set 2|  Yes  |  Yes  |  Yes  |  Yes  | zigzag2  |
| Jump Bug                         |  Yes  |  Yes  |  Yes  |  Yes  | jumpbug  |
| Jump Bug (bootleg)               |  Yes  |  Yes  |  Yes  |  Yes  | jumpbugb |
| Levers                           |  Yes  |  Yes  |  Yes  |  Yes  | levers   |
| Azurian Attack                   |  Yes  |  Yes  |  Yes  |  Yes  | azurian  |
| Orbitron                         |  Yes  |  Yes  |  Yes  |  Yes  | orbitron |
| Moon Cresta (bootleg on Galaxian |  Yes  |  Yes  |  Yes  |  Yes  | mooncrgx |
| Moon Cresta (Nichibutsu)         |  Yes  |  Yes  |  Yes  |  Yes  | mooncrst |
| Moon Cresta (Gremlin)            |  Yes  |  Yes  |  Yes  |  Yes  | mooncrsg |
| Super Moon Cresta                |  Yes  |  Yes  |  Yes  |  Yes  | smooncrs |
| Moon Cresta (bootleg set 1)      |  Yes  |  Yes  |  Yes  |  Yes  | mooncrsb |
| Moon Cresta (bootleg set 2)      |  Yes  |  Yes  |  Yes  |  Yes  | mooncrs2 |
| Fantazia                         |  Yes  |  Yes  |  Yes  |  Yes  | fantazia |
| Eagle (set 1)                    |  Yes  |  Yes  |  Yes  |  Yes  | eagle    |
| Eagle (set 2)                    |  Yes  |  Yes  |  Yes  |  Yes  | eagle2   |
| Moon Quasar                      |  Yes  |  Yes  |  Yes  |  Yes  | moonqsr  |
| Checkman                         |  Yes  |  Yes  |  Yes  |  Yes  | checkman |
| Checkman (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | checkmaj |
| Streaking                        |  Yes  |  Yes  |  Yes  |  Yes  | streakng |
| Black Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blkhole  |
| Moon Alien Part 2                |  Yes  |  Yes  |  Yes  |  Yes  | moonal2  |
| Moon Alien Part 2 (older version)|  Yes  |  Yes  |  Yes  |  Yes  | moonal2b |
| King & Balloon (US)              |  Yes  |  Yes  |  Yes  |  Yes  | kingball |
| King & Balloon (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | kingbalj |
| Scramble                         |  Yes  |  Yes  |  Yes  |  Yes  | scramble |
| Scramble (Stern)                 |  Yes  |  Yes  |  Yes  |  Yes  | scrambls |
| Scramble (bootleg on Galaxian har|  Yes  |  Yes  |  Yes  |  Yes  | scramblb |
| Battle of Atlantis (set 1)       |  Yes  |  Yes  |  Yes  |  Yes  | atlantis |
| Battle of Atlantis (set 2)       |  Yes  |  Yes  |  Yes  |  Yes  | atlants2 |
| End, The                         |  Yes  |  Yes  |  Yes  |  Yes  | theend   |
| End, The (Stern)                 |  Yes  |  Yes  |  Yes  |  Yes  | theends  |
| Crazy Kong (Scramble hardware)   |  Yes  |  Yes  |  Yes  |  Yes  | ckongs   |
| Frog                             |  Yes  |  Yes  |  Yes  |  Yes  | froggers |
| Amidar (Scramble hardware)       |  Yes  |  Yes  |  Yes  |  Yes  | amidars  |
| Triple Punch                     |  Yes  |  Yes  |  Yes  |  Yes  | triplep  |
| Knock Out !!                     |  Yes  |  Yes  |  Yes  |  Yes  | knockout |
| Mariner                          |  Yes  |  Yes  |  Yes  |  Yes  | mariner  |
| 800 Fathoms                      |  Yes  |  Yes  |  Yes  |  Yes  | 800fath  |
| Mars                             |  Yes  |  Yes  |  Yes  |  Yes  | mars     |
| Devil Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | devilfsh |
| New Sinbad 7                     |  Yes  | Close |  Yes  |  Yes  | newsin7  |
| Hot Shocker                      |  Yes  |  Yes  |  Yes  |  Yes  | hotshock |
| Hunchback (Scramble hardware)    |  Yes  |  Yes  |  Yes  |  Yes  | hunchbks |
| Super Cobra                      |  Yes  |  Yes  |  Yes  |  Yes  | scobra   |
| Super Cobra (Stern)              |  Yes  |  Yes  |  Yes  |  Yes  | scobras  |
| Super Cobra (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | scobrab  |
| Strategy X                       |  Yes  |  Yes  |  Yes  |  Yes  | stratgyx |
| Strategy X (Stern)               |  Yes  |  Yes  |  Yes  |  Yes  | stratgys |
| Armored Car (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | armorcar |
| Armored Car (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | armorca2 |
| Moon War II (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | moonwar2 |
| Moon War II (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | monwar2a |
| Speed Coin (prototype)           |  Yes  |  Yes  |  Yes  |  Yes  | spdcoin  |
| Dark Planet                      |   No  |  Yes  |  Yes  |  Yes  | darkplnt |
| Tazz-Mania (Scramble hardware)   |  Yes  |  Yes  |  Yes  |  Yes  | tazmania |
| Tazz-Mania (Strategy X hardware) |  Yes  |  Yes  |  Yes  |  Yes  | tazmani2 |
| Calipso                          |  Yes  |  Yes  |  Yes  |  Yes  | calipso  |
| Anteater                         |  Yes  |  Yes  |  Yes  |  Yes  | anteater |
| Rescue                           |  Yes  |  Yes  |  Yes  |  Yes  | rescue   |
| Minefield                        |  Yes  |  Yes  |  Yes  |  Yes  | minefld  |
| Lost Tomb (easy)                 |  Yes  |  Yes  |  Yes  |  Yes  | losttomb |
| Lost Tomb (hard)                 |  Yes  |  Yes  |  Yes  |  Yes  | losttmbh |
| Super Bond                       |  Yes  |  Yes  |  Yes  |  Yes  | superbon |
| Video Hustler                    |  Yes  |  Yes  |  Yes  |  Yes  | hustler  |
| Billiards, The                   |  Yes  |  Yes  |  Yes  |  Yes  | billiard |
| Video Hustler (bootleg)          |  Yes  |  Yes  |  Yes  |  Yes  | hustlerb |
| Frogger                          |  Yes  |  Yes  |  Yes  |  Yes  | frogger  |
| Frogger (Sega set 1)             |  Yes  |  Yes  |  Yes  |  Yes  | frogseg1 |
| Frogger (Sega set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | frogseg2 |
| Frogger (modified Moon Cresta har|  Yes  |  Yes  |  Yes  |  Yes  | froggrmc |
| Amidar                           |  Yes  |  Yes  |  Yes  |  Yes  | amidar   |
| Amidar (Stern)                   |  Yes  |  Yes  |  Yes  |  Yes  | amidaru  |
| Amidar (Olympia)                 |  Yes  |  Yes  |  Yes  |  Yes  | amidaro  |
| Amigo                            |  Yes  |  Yes  |  Yes  |  Yes  | amigo    |
| Turtles                          |  Yes  |  Yes  |  Yes  |  Yes  | turtles  |
| Turpin                           |  Yes  |  Yes  |  Yes  |  Yes  | turpin   |
| 600                              |  Yes  |  Yes  |  Yes  |  Yes  | 600      |
| Fly-Boy                          | No(1) |  Yes  |  Yes  |  Yes  | flyboy   |
| Fly-Boy (bootleg)                |  Yes  |  Yes  |  Yes  |  Yes  | flyboyb  |
| Fast Freddie                     |  Yes  |  Yes  |  Yes  |  Yes  | fastfred |
| Jump Coaster                     |  Yes  |  Yes  |  Yes  |  Yes  | jumpcoas |
| Crazy Climber (US)               |  Yes  |  Yes  |  Yes  |  Yes  | cclimber |
| Crazy Climber (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | cclimbrj |
| Crazy Climber (bootleg set 1)    |  Yes  |  Yes  |  Yes  |  Yes  | ccboot   |
| Crazy Climber (bootleg set 2)    |  Yes  |  Yes  |  Yes  |  Yes  | ccboot2  |
| Crazy Kong (set 1)               |  Yes  |  Yes  |  Yes  |  Yes  | ckong    |
| Crazy Kong (set 2)               |  Yes  |  Yes  |  Yes  |  Yes  | ckonga   |
| Crazy Kong (Jeutel bootleg)      |  Yes  |  Yes  |  Yes  |  Yes  | ckongjeu |
